20-21`04.11 2455672.5  9.15 .02  7.98 .01 
15-16`05.11 2455697.4  9.19 .02  7.93 .01 
21-22`06.11 2455734.4  9.18 .02  7.94 .01 
08-09`07.11 2455751.4  9.18 .04  7.92 .01 
17-18`07.11 2455760.3  9.20 .02  7.98 .01 
06-07`08.11 2455780.3  9.22 .01  7.98 .01 
10-11`08.11 2455784.3  9.22 .02  8.01 .01 
21-22`08.11 2455795.3  9.17 .02  7.97 .02 
14-15`09.11 2455819.3  9.11 .01  7.93 .01 
05-06`06.12 2456084.4  9.11 .01  7.93 .01 
09-10`07.12 2456118.3  9.07 .01  7.91 .01 
02-03`08.12 2456142.3  9.06 .03  7.86 .02 
30-01`09.12 2456201.3  9.09 .03  7.90 .01 
27-28`04.13 2456410.5  8.96 .01  7.80 .01 
20-21`05.13 2456433.4  8.98 .03  7.80 .01 
26-27`06.13 2456470.4  8.94 .02  7.79 .01 
29-30`06.13 2456473.4  8.99 .01  7.82 .01 
13-14`07.13 2456487.3  9.02 .02  7.84 .02 
19-20`07.13 2456493.3  9.02 .03  7.83 .01 
15-16`08.13 2456520.2  9.00 .02  7.87 .01 
20-21`08.13 2456525.4  9.06 .02  7.90 .01 
10-11`07.14 2456849.4  9.16 .03  7.93 .02 
01-02`08.14 2456871.3  9.10 .03  7.97 .02 
15-16`08.14 2456885.4    -   -   8.00 .02 
09-10`10.14 2456940.2  9.10 .02  7.94 .01 
05-06`11.14 2456967.2  9.12 .03  7.88 .02 
11-12`04.15 2457124.6  9.06 .01  7.91 .01 
29-30`07.15 2457233.3  9.14 .03  7.98 .02 
01-02`08.15 2457236.4  9.13 .05  7.97 .03 
26-27`08.15 2457261.3  9.12 .01  7.96 .01 
03-04`09.15 2457269.3  9.11 .02  7.94 .02 
28-29`09.15 2457294.2  9.07 .03  7.88 .02 
20-21`05.16 2457529.5  9.16 .01  7.97 .01 
17-18`06.16 2457557.4  9.13 .02  7.94 .02 
17-18`07.16 2457587.3  9.04 .02  7.91 .02 
25-26`07.16 2457595.3  9.14 .02  7.86 .01 
22-23`08.16 2457623.4  9.02 .03  7.86 .02 
08-09`09.16 2457640.2  9.11 .01  7.90 .01 
02-03`04.17 2457846.5  9.12 .01  7.95 .01 
18-19`05.17 2457892.5  9.10 .01  7.89 .01 
07-08`06.17 2457912.4  9.16 .02  7.88 .02 
10-11`07.17 2457945.4  9.03 .02  7.90 .02 
05-06`08.17 2457971.3  9.10 .02  7.91 .01 
07-08`09.17 2458004.2  9.12 .01  7.93 .01 
26-27`04.18 2458235.5  9.03 .01  7.87 .01 
20-21`05.18 2458259.5  9.05 .01  7.87 .01 
06-07`07.18 2458306.4  9.06 .01  7.93 .01 
01-02`08.18 2458332.4  9.03 .01  7.91 .02 
20-21`08.18 2458351.3  9.06 .01  7.92 .01 
05-06`10.18 2458397.2  9.16 .02  7.98 .01 
23-24`05.19 2458627.4  9.10 .01  7.89 .01 
18-19`06.19 2458653.4  9.18 .02  7.93 .01 
20-21`07.19 2458685.3  9.21 .02  7.97 .02 
12-13`08.19 2458708.3  9.20 .02  7.96 .01 
24-25`08.19 2458720.2  9.12 .01  7.93 .01 
08-09`09.19 2458735.3  9.08 .02  7.90 .01 
17-18`10.19 2458774.2  9.06 .02  7.85 .02 
08-09`08.20 2459070.3  9.06 .02  7.87 .01 
11-12`06.21 2459377.4  9.03 .01  7.84 .01 
27-28`08.21 2459454.3  9.07 .02  7.88 .01 
